Time: 2020-08-29 18:35:24.665134087 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:25.538113668 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:26.536972521 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:27.537746879 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:29.548919875 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:29.580392294 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:30.557220914 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:31.537338809 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:35:32.557486195 +0000 UTC, Service: , StatusCode: 500, ErrorMsg: %!(EXTRA string=Get request error: 500 Internal Server Error, Internal Server Error), HealthStatus: YELLOW 
Time: 2020-08-29 18:35:33.537069862 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:34.544893245 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:35.562608748 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:36.551162233 +0000 UTC, Service: , StatusCode: 500, ErrorMsg: %!(EXTRA string=Get request error: 500 Internal Server Error, Internal Server Error), HealthStatus: YELLOW 
Time: 2020-08-29 18:35:37.538438208 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:38.537603517 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:39.537144893 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:40.53736953 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:41.539366113 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:42.538281729 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:43.55233437 +0000 UTC, Service: , StatusCode: 500, ErrorMsg: %!(EXTRA string=Get request error: 500 Internal Server Error, Internal Server Error), HealthStatus: YELLOW 
Time: 2020-08-29 18:35:44.537931536 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:46.127818906 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:46.546592494 +0000 UTC, Service: , StatusCode: 500, ErrorMsg: %!(EXTRA string=Get request error: 500 Internal Server Error, Internal Server Error), HealthStatus: YELLOW 
Time: 2020-08-29 18:35:47.540407139 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:48.539536759 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:49.554473926 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:50.541880332 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:51.535758873 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:52.556803535 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:53.537103765 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:54.555781646 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:35:55.561164029 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:36:01.464077661 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:36:02.362688123 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:36:03.361417154 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:36:04.476142568 +0000 UTC, Service: , StatusCode: 500, ErrorMsg: Get request error: 500 Internal Server Error, Internal Server Error, HealthStatus: RED 
Time: 2020-08-29 18:36:05.243220625 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:36:05.363021768 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:36:06.13048385 +0000 UTC, Service: , StatusCode: 200, HealthStatus: GREEN 
Time: 2020-08-29 18:36:06.361271518 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
Time: 2020-08-29 18:36:07.372689322 +0000 UTC, Service: , StatusCode: 200, HealthStatus: YELLOW 
